[Algeria] (25 players)
  Alfie Jones                    | # 3 | CB   | Middlesbrough
  Luc de Fougerolles             | # 4 | CB   | Dender
  Joel Waterman                  | # 5 | CB   | Chicago Fire FC
  Mathieu Choinière              | # 6 | CM   | Los Angeles FC
  Stephen Eustáquio              | # 7 | CM   | Los Angeles FC
  Ismaël Koné                    | # 8 | CM   | Sassuolo
  Cyle Larin                     | # 9 | ST   | Southampton
  Jonathan David                 | #10 | ST   | Juventus
  Liam Millar                    | #11 | CM   | Hull City
  Tani Oluwaseyi                 | #12 | ST   | Villarreal
  Derek Cornelius                | #13 | CB   | Rangers
  Jacob Shaffelburg              | #14 | CM   | Los Angeles FC
  Moïse Bombito                  | #15 | CB   | Nice
  Maxime Crépeau                 | #16 | GK   | Orlando City SC
  Tajon Buchanan                 | #17 | ST   | Villarreal
  Owen Goodman                   | #18 | GK   | Barnsley
  Alphonso Davies                | #19 | CB   | Bayern Munich
  Ali Ahmed                      | #20 | ST   | Norwich City
  Jonathan Osorio                | #21 | CM   | Toronto FC
  Richie Laryea                  | #22 | CB   | Toronto FC
  Niko Sigur                     | #23 | CB   | Hajduk Split
  Promise David                  | #24 | ST   | Union Saint-Gilloise
  Nathan Saliba                  | #25 | CM   | Anderlecht

[Cape Verde] (26 players)
  Vozinha                        | # 1 | GK   | Chaves
  Stopira                        | # 2 | CB   | Torreense
  Diney                          | # 3 | CB   | Al Bataeh
  Roberto Lopes                  | # 4 | CB   | Shamrock Rovers
  Logan Costa                    | # 5 | CB   | Villarreal
  Kevin Pina                     | # 6 | CM   | Krasnodar
  Jovane Cabral                  | # 7 | CM   | Estrela Amadora
  João Paulo                     | # 8 | CM   | FCSB
  Gilson Benchimol               | # 9 | ST   | Akron Tolyatti
  Jamiro Monteiro                | #10 | CM   | PEC Zwolle
  Garry Rodrigues                | #11 | CM   | Apollon Limassol
  Márcio Rosa                    | #12 | GK   | Montana
  Sidny Lopes Cabral             | #13 | CB   | Benfica
  Deroy Duarte                   | #14 | CM   | Ludogorets Razgrad
  Laros Duarte                   | #15 | CM   | Puskás Akadémia
  Yannick Semedo                 | #16 | CM   | Farense
  Willy Semedo                   | #17 | CM   | Omonia
  Telmo Arcanjo                  | #18 | CM   | Vitória de Guimarães
  Dailon Livramento              | #19 | ST   | Casa Pia
  Ryan Mendes                    | #20 | ST   | Iğdır
  Nuno da Costa                  | #21 | CM   | İstanbul Başakşehir
  Steven Moreira                 | #22 | CB   | Columbus Crew
  CJ dos Santos                  | #23 | GK   | San Diego FC
  Wagner Pina                    | #24 | CB   | Trabzonspor
  Kelvin Pires                   | #25 | CB   | SJK
  Hélio Varela                   | #26 | CM   | Maccabi Tel Aviv

[Colombia] (26 players)
  David Ospina                   | # 1 | GK   | Atlético Nacional
  Daniel Muñoz                   | # 2 | CB   | Crystal Palace
  Jhon Lucumí                    | # 3 | CB   | Bologna
  Santiago Arias                 | # 4 | CB   | Independiente
  Kevin Castaño                  | # 5 | CM   | River Plate
  Richard Ríos                   | # 6 | CM   | Benfica
  Luis Díaz                      | # 7 | ST   | Bayern Munich
  Jorge Carrascal                | # 8 | CM   | Flamengo
  Jhon Córdoba                   | # 9 | ST   | Krasnodar
  James Rodríguez                | #10 | CM   | Minnesota United FC
  Jhon Arias                     | #11 | CM   | Palmeiras
  Camilo Vargas                  | #12 | GK   | Atlas
  Yerry Mina                     | #13 | CB   | Cagliari
  Gustavo Puerta                 | #14 | CB   | Racing Santander
  Juan Portilla                  | #15 | CM   | Athletico Paranaense
  Jefferson Lerma                | #16 | CM   | Crystal Palace
  Johan Mojica                   | #17 | CB   | Mallorca
  Willer Ditta                   | #18 | CB   | Cruz Azul
  Cucho Hernández                | #19 | ST   | Real Betis
  Juan Fernando Quintero         | #20 | CM   | River Plate
  Jaminton Campaz                | #21 | ST   | Rosario Central
  Deiver Machado                 | #22 | CB   | Nantes
  Davinson Sánchez               | #23 | CB   | Galatasaray
  Álvaro Montero                 | #24 | GK   | Vélez Sarsfield
  Luis Suárez                    | #25 | ST   | Sporting CP
  Andrés Gómez                   | #26 | ST   | Vasco da Gama

[Croatia] (24 players)
  Dominik Livaković              | # 1 | GK   | Dinamo Zagreb
  Josip Stanišić                 | # 2 | CB   | Bayern Munich
  Marin Pongračić                | # 3 | CB   | Fiorentina
  Duje Ćaleta-Car                | # 5 | CB   | Real Sociedad
  Josip Šutalo                   | # 6 | CB   | Ajax
  Nikola Moro                    | # 7 | CM   | Bologna
  Andrej Kramarić                | # 9 | ST   | TSG Hoffenheim
  Luka Modrić                    | #10 | CM   | Milan
  Ante Budimir                   | #11 | ST   | Osasuna
  Ivor Pandur                    | #12 | GK   | Hull City
  Nikola Vlašić                  | #13 | CM   | Torino
  Ivan Perišić                   | #14 | ST   | PSV Eindhoven
  Mario Pašalić                  | #15 | CM   | Atalanta
  Martin Baturina                | #16 | CM   | Como
  Petar Sučić                    | #17 | CM   | Inter Milan
  Kristijan Jakić                | #18 | CB   | FC Augsburg
  Toni Fruk                      | #19 | CM   | Rijeka
  Igor Matanović                 | #20 | ST   | SC Freiburg
  Luka Sučić                     | #21 | CM   | Real Sociedad
  Luka Vušković                  | #22 | CB   | Hamburger SV
  Dominik Kotarski               | #23 | GK   | Copenhagen
  Marco Pašalić                  | #24 | ST   | Orlando City SC
  Martin Erlić                   | #25 | CB   | Midtjylland
  Petar Musa                     | #26 | ST   | FC Dallas

[Curaçao] (26 players)
  Eloy Room                      | # 1 | GK   | Miami FC
  Shurandy Sambo                 | # 2 | CB   | Sparta Rotterdam
  Juriën Gaari                   | # 3 | CB   | Abha
  Roshon van Eijma               | # 4 | CB   | RKC Waalwijk
  Sherel Floranus                | # 5 | CB   | PEC Zwolle
